id,match_won,opp_win_percentage,toss_won,home,match_type,fifty_plus_t1,fifty_plus_partnerships_t1,fours_t1,sixes_t1,extras_t1,pp_wickets_t1,wickets_t1,balls_first_50_t1,dots_t1,run_rate_t1,highest_ind_t1,highest_ind_sr_t1,X2nd_highest_score_t1,highest_wickets_t1,worst_bowler_runs_t1,spinners_t1,pacers_t1,fifty_plus_t2,fifty_plus_partnerships_t2,fours_t2,sixes_t2,extras_t2,pp_wickets_t2,wickets_t2,balls_first_50_t2,dots_t2,run_rate_t2,highest_ind_t2,highest_ind_sr_t2,X2nd_highest_score_t2,highest_wickets_t2,worst_bowler_runs_t2,spinners_t2,pacers_t2
733973,0,0.56,1,0,0,1,1,16,6,13,2,5,47,45,8.4,59,125.53,45,2,40,1,4,0,1,15,9,6,2,5,37,47,8.86,39,114.7,35,2,34,1,5
733975,0,0.5474,0,1,1,0,0,14,4,4,1,5,42,37,7.6,42,127.27,39,1,36,2,3,1,1,12,7,4,1,3,46,40,8.43,73,146,34,2,39,1,6
733979,1,0.4681,0,1,0,0,2,12,6,7,0,6,36,37,8.5,44,125.71,37,3,33,2,4,2,1,12,5,10,0,6,36,35,8,65,125,54,2,42,2,4
733989,1,0.5567,0,0,1,0,0,15,0,12,1,9,36,43,6.7,33,165,21,4,31,2,4,0,0,6,1,10,3,10,55,56,5.14,22,66.66,16,3,28,1,5
733993,0,0.5417,0,1,0,0,1,10,5,5,1,7,35,43,7.15,39,130,35,1,13,1,4,0,0,2,2,11,2,2,0,8,10.15,13,433.33,12,2,29,2,4
733999,0,0.551,1,1,1,2,1,15,12,7,1,5,57,46,9.5,83,218.42,58,4,41,2,4,1,2,19,8,7,0,5,40,35,10.14,56,143.58,48,2,43,2,4
734019,0,0.5253,0,1,1,1,2,16,5,5,1,7,31,43,8.2,69,156.81,49,3,42,2,3,0,1,13,6,15,0,6,29,47,8.38,42,221.05,42,3,42,2,3
734033,1,0.549,0,1,1,0,2,16,6,14,1,4,32,38,8.95,40,114.28,29,3,57,2,3,0,0,9,8,7,1,8,41,43,8.15,35,269.23,31,1,39,2,4
734041,0,0.5741,0,0,1,2,1,17,9,5,1,4,53,40,9.45,74,157.44,50,2,54,1,4,1,1,19,12,7,3,5,23,22,13.29,95,215.9,30,1,43,3,3
734047,1,0.6106,0,2,1,1,2,19,13,11,0,6,26,33,11.3,122,210.34,38,2,59,3,3,1,1,17,10,16,2,7,23,37,10.1,87,348,42,2,51,2,3
829709,1,0.5283,0,0,1,0,1,10,7,21,3,7,46,49,8.1,46,139.39,33,3,36,1,5,0,0,14,3,9,2,8,34,59,6.8,37,115.62,24,3,43,2,3
829713,0,0.4953,0,1,1,1,1,23,3,6,0,6,32,37,8.85,58,126.08,41,2,40,5,2,1,0,12,12,8,1,7,44,40,9.42,96,171.42,28,1,38,1,5
829731,1,0.5,1,0,0,2,1,9,9,9,1,4,46,39,8.35,60,150,54,4,38,4,3,0,1,10,8,4,0,8,36,40,8.15,41,136.66,28,1,38,1,5
829733,0,0.5094,0,1,1,1,1,10,7,13,3,9,42,46,7.75,60,133.33,33,4,41,1,4,1,1,21,4,2,2,6,36,42,8.91,66,183.33,28,3,39,2,3
829739,0,0.514,0,1,1,0,0,13,5,13,2,8,47,51,7.3,32,114.28,31,2,33,3,3,1,1,18,2,7,2,4,38,36,8.09,60,122.44,40,2,38,3,3
829741,0,0.5182,0,1,1,1,1,16,8,10,0,6,42,36,9.55,74,137.03,45,1,41,3,4,2,1,12,10,5,1,6,45,36,9.55,65,162.5,54,2,44,3,3
829757,0,0.4911,0,1,1,0,0,8,1,8,2,10,58,54,5.18,33,113.79,27,0,30,3,3,1,1,12,4,2,0,0,36,23,9.42,62,155,35,3,24,1,4
